,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt
0,2023-08-11,20:00,Premier League,Matchweek 1,Fri,Home,L,0.0,3.0,Manchester City,0.3,1.9,35.0,21572.0,Josh Cullen,5-4-1,Craig Pawson,Match Report,,6,1,14.9,0.0,0,0
1,2023-08-27,14:00,Premier League,Matchweek 3,Sun,Home,L,1.0,3.0,Aston Villa,0.7,2.5,57.0,21591.0,Josh Cullen,4-4-2,Michael Salisbury,Match Report,,9,2,17.7,0.0,0,0
3,2023-09-02,15:00,Premier League,Matchweek 4,Sat,Home,L,2.0,5.0,Tottenham,1.3,2.2,47.0,21750.0,Josh Cullen,4-4-2,Darren England,Match Report,,16,4,17.9,1.0,0,0
4,2023-09-18,19:45,Premier League,Matchweek 5,Mon,Away,D,1.0,1.0,Nott'ham Forest,0.5,0.7,54.0,28958.0,Josh Brownhill,4-2-3-1,Robert Jones,Match Report,,10,3,18.9,0.0,0,0
5,2023-09-23,20:00,Premier League,Matchweek 6,Sat,Home,L,0.0,1.0,Manchester Utd,1.1,1.0,61.0,21593.0,Josh Brownhill,4-3-3,Tony Harrington,Match Report,,12,4,15.6,0.0,0,0
7,2023-09-30,15:00,Premier League,Matchweek 7,Sat,Away,L,0.0,2.0,Newcastle Utd,0.6,3.1,47.0,51687.0,Josh Brownhill,4-2-3-1,Thomas Bramall,Match Report,,8,2,16.3,0.0,0,0
8,2023-10-03,19:30,Premier League,Matchweek 2,Tue,Away,W,2.0,1.0,Luton Town,1.1,1.3,51.0,10918.0,Josh Brownhill,4-3-3,Peter Bankes,Match Report,,14,4,20.2,0.0,0,0
9,2023-10-07,15:00,Premier League,Matchweek 8,Sat,Home,L,1.0,4.0,Chelsea,0.7,1.9,38.0,21654.0,Josh Brownhill,4-3-3,Stuart Attwell,Match Report,,10,3,18.2,1.0,0,0
10,2023-10-21,15:00,Premier League,Matchweek 9,Sat,Away,L,0.0,3.0,Brentford,1.1,3.1,50.0,17029.0,Josh Cullen,4-2-3-1,Joshua Smith,Match Report,,6,1,20.2,0.0,0,0
11,2023-10-28,15:00,Premier League,Matchweek 10,Sat,Away,L,1.0,2.0,Bournemouth,0.8,1.1,55.0,11152.0,Josh Brownhill,4-3-3,Samuel Barrott,Match Report,,6,3,18.0,0.0,0,0
13,2023-11-04,15:00,Premier League,Matchweek 11,Sat,Home,L,0.0,2.0,Crystal Palace,1.1,1.3,67.0,21578.0,Josh Brownhill,4-4-2,Peter Bankes,Match Report,,17,5,13.3,0.0,0,0
14,2023-11-11,15:00,Premier League,Matchweek 12,Sat,Away,L,1.0,3.0,Arsenal,0.3,1.8,37.0,60232.0,Josh Brownhill,4-4-2,Michael Oliver,Match Report,,8,5,19.3,0.0,0,0
15,2023-11-25,15:00,Premier League,Matchweek 13,Sat,Home,L,1.0,2.0,West Ham,1.3,0.9,50.0,21319.0,Josh Brownhill,4-4-2,Samuel Barrott,Match Report,,10,4,17.2,0.0,1,1
